sub,group,block,trial,manipulation_stim,manipulation,blue,red,ice,rock,misses,non_manip_minus_manip
5075,extensive,11,33,blue,devaluation,1,5,1,0,0,4.0
5076,extensive,2,21,,,10,7,0,0,1,
5076,extensive,11,33,red,devaluation,10,0,3,0,0,10.0
5077,extensive,2,21,,,5,10,0,0,0,
5077,extensive,11,33,red,devaluation,8,0,4,0,0,8.0
5078,extensive,2,21,,,6,9,0,0,2,
5078,extensive,11,33,blue,devaluation,0,10,5,0,0,10.0
5079,extensive,2,21,,,8,10,3,0,0,
5079,extensive,11,33,red,devaluation,10,0,8,0,0,10.0
5080,extensive,2,21,,,6,2,6,0,0,
5080,extensive,11,33,blue,devaluation,0,4,8,0,2,4.0
5081,extensive,2,21,,,6,2,2,0,0,
5081,extensive,11,33,blue,devaluation,0,4,3,1,0,4.0
5082,extensive,2,21,,,0,1,8,0,0,
5082,extensive,11,33,blue,devaluation,0,10,4,0,0,10.0
5083,extensive,2,21,,,2,2,3,0,2,
5083,extensive,11,33,blue,devaluation,1,2,5,0,5,1.0
5084,extensive,2,21,,,10,10,0,0,0,
5084,extensive,11,33,blue,devaluation,4,10,0,0,0,6.0
5085,extensive,2,21,,,0,0,2,2,1,
5085,extensive,11,33,red,devaluation,5,0,7,3,1,5.0
5086,extensive,2,21,,,10,10,10,0,0,
5086,extensive,11,33,blue,devaluation,0,10,10,0,1,10.0
5087,extensive,2,21,,,7,0,7,0,0,
5087,extensive,11,33,red,devaluation,2,4,6,0,1,-2.0
5088,extensive,2,21,,,8,8,6,0,1,
5088,extensive,11,33,blue,devaluation,0,9,9,0,1,9.0
5089,extensive,2,21,,,5,8,2,0,2,
5089,extensive,11,33,blue,devaluation,5,6,4,0,4,1.0
5090,extensive,2,21,,,8,10,8,0,4,
5090,extensive,11,33,blue,devaluation,10,10,2,0,0,0.0
5091,extensive,2,21,,,6,8,0,0,0,
5091,extensive,11,33,red,devaluation,10,0,2,0,0,10.0
5092,extensive,2,21,,,6,9,1,0,0,
5092,extensive,11,33,blue,devaluation,1,7,4,1,1,6.0
5093,extensive,2,21,,,0,3,0,0,21,
5093,extensive,11,33,red,devaluation,0,10,5,0,24,-10.0
5094,extensive,2,21,,,2,1,0,0,0,
5094,extensive,11,33,red,devaluation,6,0,2,0,0,6.0
5095,extensive,2,21,,,10,10,0,0,0,
5095,extensive,11,33,blue,devaluation,0,10,10,0,1,10.0
5096,extensive,2,21,,,2,0,2,1,1,
5096,extensive,11,33,red,devaluation,2,2,2,2,0,0.0
5097,extensive,2,21,,,6,2,8,0,0,
5097,extensive,11,33,blue,devaluation,0,9,6,0,0,9.0
5098,extensive,2,21,,,4,7,4,0,0,
5098,extensive,11,33,red,devaluation,9,9,10,0,1,0.0
5099,extensive,2,21,,,10,9,0,0,0,
5099,extensive,11,33,red,devaluation,10,1,3,0,0,9.0
5100,extensive,2,21,,,8,7,6,0,0,
5100,extensive,11,33,blue,devaluation,0,10,7,0,0,10.0
5101,extensive,2,21,,,10,10,10,0,5,
5101,extensive,11,33,red,devaluation,10,10,10,0,4,0.0
5102,extensive,2,21,,,6,5,0,0,0,
5102,extensive,11,33,red,devaluation,10,0,0,0,0,10.0
5103,extensive,2,21,,,6,0,5,0,0,
5103,extensive,11,33,red,devaluation,4,5,8,0,1,-1.0
5104,extensive,2,21,,,10,10,0,0,0,
5104,extensive,11,33,red,devaluation,10,0,0,0,0,10.0
5105,extensive,2,21,,,4,3,0,0,0,
5105,extensive,11,33,blue,devaluation,0,8,0,0,0,8.0
5106,extensive,2,21,,,5,7,0,0,0,
5106,extensive,11,33,red,devaluation,6,4,3,0,0,2.0
5107,extensive,2,21,,,8,7,5,0,0,
5107,extensive,11,33,red,devaluation,10,0,5,0,0,10.0
5108,extensive,2,21,,,3,7,0,0,0,
5108,extensive,11,33,red,devaluation,6,0,0,0,1,6.0
5109,extensive,2,21,,,5,6,1,0,0,
5109,extensive,11,33,red,devaluation,9,0,0,0,1,9.0
5110,extensive,2,21,,,10,10,0,0,1,
5110,extensive,11,33,red,devaluation,10,0,9,0,0,10.0
5111,extensive,2,21,,,3,8,1,0,0,
5111,extensive,11,33,red,devaluation,10,0,3,0,1,10.0
5112,extensive,2,21,,,9,9,10,1,0,
5112,extensive,11,33,blue,devaluation,0,11,10,0,0,11.0
5113,extensive,2,21,,,10,10,9,0,0,
5113,extensive,11,33,red,devaluation,10,0,10,0,3,10.0
5114,extensive,2,21,,,8,10,0,0,0,
5114,extensive,11,33,red,devaluation,9,0,4,0,0,9.0
5115,extensive,2,21,,,8,10,9,0,1,
5115,extensive,11,33,blue,devaluation,0,10,10,0,0,10.0
5116,extensive,2,21,,,6,4,7,0,4,
5116,extensive,11,33,red,devaluation,7,2,3,0,2,5.0
5117,extensive,2,21,,,10,10,10,0,3,
5117,extensive,11,33,blue,devaluation,2,10,10,0,1,8.0
5118,extensive,2,21,,,10,9,0,0,1,
5118,extensive,11,33,red,devaluation,10,0,5,0,0,10.0
5119,extensive,2,21,,,7,5,1,2,2,
5119,extensive,11,33,blue,devaluation,4,4,5,0,0,0.0
5120,extensive,2,21,,,0,7,0,0,0,
5120,extensive,11,33,blue,devaluation,0,9,0,0,0,9.0
5121,extensive,2,21,,,10,10,3,0,1,
5121,extensive,11,33,blue,devaluation,0,10,10,0,0,10.0
5122,extensive,2,21,,,5,3,2,0,0,
5122,extensive,11,33,red,devaluation,8,2,6,0,1,6.0
5123,extensive,2,21,,,4,3,0,0,0,
5123,extensive,11,33,red,devaluation,3,6,0,0,1,-3.0
5124,extensive,2,21,,,8,8,0,0,0,
5124,extensive,11,33,blue,devaluation,0,10,0,0,0,10.0
5125,extensive,2,21,,,8,0,1,0,7,
5125,extensive,11,33,red,devaluation,7,0,2,0,4,7.0
5126,extensive,2,21,,,0,0,9,0,2,
5126,extensive,11,33,red,devaluation,5,3,4,4,0,2.0
5127,extensive,2,21,,,6,4,0,0,0,
5127,extensive,11,33,blue,devaluation,0,9,1,0,0,9.0
5128,extensive,2,21,,,9,10,9,0,1,
5128,extensive,11,33,blue,devaluation,0,10,0,0,1,10.0
5129,extensive,2,21,,,8,1,9,0,1,
5129,extensive,11,33,blue,devaluation,0,10,5,0,0,10.0
